timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784785171426,1867,Petstore,200,,Non GUI Test Cases using CSV file 1-1,text,true,,5664,145,2,2,https://petstore.octoperf.com/actions/Catalog.action,1862,0,1527
1784785171860,1433,Petstore,200,,Non GUI Test Cases using CSV file 1-2,text,true,,5664,145,2,2,https://petstore.octoperf.com/actions/Catalog.action,1426,0,1093
1784785173296,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-2,text,false,,871,0,2,2,null,0,0,0
1784785173297,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-2,text,false,,871,0,2,2,null,0,0,0
1784785173299,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-1,text,false,,871,0,2,2,null,0,0,0
1784785173299,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-1,text,false,,871,0,2,2,null,0,0,0
1784785173300,2054,Abhibus,200,OK,Non GUI Test Cases using CSV file 1-1,text,true,,377907,268,2,2,https://www.abhibus.com/bus-ticket-offers,483,0,363
1784785173300,485,Abhibus-0,301,Moved Permanently,Non GUI Test Cases using CSV file 1-1,text,true,,444,134,2,2,http://www.abhibus.com/bus-ticket-offers,483,0,363
1784785173787,1567,Abhibus-1,200,OK,Non GUI Test Cases using CSV file 1-1,text,true,,377463,134,2,2,https://www.abhibus.com/bus-ticket-offers,776,0,467
1784785173298,2059,Abhibus,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,377907,268,2,2,https://www.abhibus.com/bus-ticket-offers,500,0,365
1784785173298,501,Abhibus-0,301,Moved Permanently,Non GUI Test Cases using CSV file 1-2,text,true,,444,134,2,2,http://www.abhibus.com/bus-ticket-offers,500,0,365
1784785173800,1557,Abhibus-1,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,377463,134,2,2,https://www.abhibus.com/bus-ticket-offers,711,0,467
1784785175355,1312,RedBus,200,OK,Non GUI Test Cases using CSV file 1-1,text,true,,123441,124,2,2,https://www.redbus.in/myprofile#trips,1057,0,825
1784785175358,1346,RedBus,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,123441,124,2,2,https://www.redbus.in/myprofile#trips,1104,0,844
1784785176669,1250,wikipedia,403,Forbidden,Non GUI Test Cases using CSV file 1-1,text,false,,329,133,2,2,https://www.wikipedia.org/wiki/Main_Page,1250,0,1134
1784785176705,1484,wikipedia,403,Forbidden,Non GUI Test Cases using CSV file 1-2,text,false,,329,133,2,2,https://www.wikipedia.org/wiki/Main_Page,1484,0,1167
1784785177921,1173,W3C,200,OK,Non GUI Test Cases using CSV file 1-1,text,true,,32980,123,2,2,https://www.w3.org/ecosystems/,1103,0,1030
1784785178189,922,W3C,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,32980,123,2,2,https://www.w3.org/ecosystems/,843,0,765
1784785179113,3393,Facebook,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,498486,146,2,2,https://www.facebook.com/reg/?entry_point=login&next=,2508,0,1848
1784785182507,445,Petstore,200,,Non GUI Test Cases using CSV file 1-2,text,true,,5664,145,2,2,https://petstore.octoperf.com/actions/Catalog.action,442,0,0
1784785182953,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-2,text,false,,871,0,2,2,null,0,0,0
1784785182954,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-2,text,false,,871,0,2,2,null,0,0,0
1784785179095,4626,Facebook,200,OK,Non GUI Test Cases using CSV file 1-1,text,true,,498836,146,2,2,https://www.facebook.com/reg/?entry_point=login&next=,2555,0,1855
1784785183722,595,Petstore,200,,Non GUI Test Cases using CSV file 1-1,text,true,,5664,145,2,2,https://petstore.octoperf.com/actions/Catalog.action,595,0,0
1784785182955,1362,Abhibus,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,377908,268,2,2,https://www.abhibus.com/bus-ticket-offers,333,0,0
1784785182955,333,Abhibus-0,301,Moved Permanently,Non GUI Test Cases using CSV file 1-2,text,true,,444,134,2,2,http://www.abhibus.com/bus-ticket-offers,333,0,0
1784785183289,1028,Abhibus-1,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,377464,134,2,2,https://www.abhibus.com/bus-ticket-offers,477,0,0
1784785184317,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-1,text,false,,871,0,2,2,null,0,0,0
1784785184318,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Unrecognized IPv6 address format,Non GUI Test Cases using CSV file 1-1,text,false,,871,0,2,2,null,0,0,0
1784785184318,1044,RedBus,200,OK,Non GUI Test Cases using CSV file 1-2,text,true,,123441,124,2,2,https://www.redbus.in/myprofile#trips,290,0,0
