Petstore,10,606,295,1433,1433,1867,226,1867,0.000%,.36048,1.99,0.05
,20,0,0,0,0,0,0,0,100.000%,.77304,0.66,0.00
Abhibus,10,1403,1362,2059,2059,2140,401,2140,0.000%,.38065,140.48,0.10
Abhibus-0,10,237,129,485,485,501,104,501,0.000%,.38493,0.17,0.05
Abhibus-1,10,1166,1064,1690,1690,1806,292,1806,0.000%,.38787,142.97,0.05
RedBus,10,739,676,1312,1312,1346,318,1346,0.000%,.40664,49.02,0.05
wikipedia,10,392,115,1250,1250,1484,101,1484,100.000%,.42750,0.14,0.06
W3C,10,299,116,922,922,1173,33,1173,0.000%,.45076,14.52,0.05
Facebook,10,2312,1688,3502,3502,4626,643,4626,0.000%,.45785,223.20,0.07
TOTAL,100,715,334,1806,2140,3502,0,4626,30.000%,3.38868,469.64,0.40
